tx_err_x,tx_err_y,tx_err_px
297.2345,1.9831238,297.2411
132.2655,2.3790588,132.2869
554.493,2.3825989,554.4981
60.917725,13.968842,62.498783
157.16089,9.023773,157.41974
30.541931,3.1921082,30.708292
59.621643,9.878021,60.43439
706.28235,1.2676086,706.28345
106.97406,1.8387146,106.98986
475.68256,0.009979248,475.68256
247.12866,18.103394,247.79086
264.0598,11.229065,264.29846
17.719543,9.922485,20.308567
73.44025,2.9539795,73.49963
347.74878,5.625763,347.79428
757.3457,9.506409,757.40533
206.37994,1.9253845,206.38892
135.63092,3.6436768,135.67986
928.7365,5.198456,928.75104
26.456665,9.244965,28.025427
278.65747,9.477997,278.8186
274.27283,3.3140564,274.29285
4.845093,6.829132,8.373289
9.444458,1.3917847,9.546457
730.68494,7.309723,730.7215
570.6287,2.2608643,570.6332
157.38153,5.8111267,157.48877
423.93958,4.890442,423.9678
0.8049927,1.976593,2.134229
232.25049,0.03314209,232.25049
57.717163,6.2135315,58.05066
355.82806,1.3482056,355.83063
520.353,9.634949,520.44226
171.23529,5.203369,171.31433
410.8537,32.137756,412.1087
55.983032,26.93805,62.126953
35.654175,6.694336,36.277187
481.35913,3.0401,481.36874
17.54773,2.0144653,17.662981
337.29956,12.75354,337.5406
45.730896,3.9237366,45.89892
39.246277,3.471283,39.399494
207.32483,7.086334,207.44589
42.45343,5.745453,42.840446
4.286438,3.216217,5.3588805
496.80026,5.941345,496.8358
112.27643,1.4715271,112.28607
925.2558,9.170319,925.3013
18.604431,2.086975,18.721119
59.19818,0.76641846,59.20314
40.8385,14.553284,43.354137
295.53613,0.06878662,295.53616
67.772644,21.47049,71.092285
495.09088,3.8153992,495.1056
50.05133,13.858551,51.93453
50.26935,10.426178,51.33919
152.13959,4.736206,152.21329
3.3967896,10.22525,10.774689
16.523499,3.7080994,16.934462
105.857666,3.619751,105.91954
408.1875,2.8990173,408.19778
48.120544,2.6826172,48.195263
210.12347,3.663269,210.1554
33.39392,7.02652,34.12515
610.0985,13.429474,610.2463
299.29834,17.58966,299.81476
771.0599,12.33197,771.15845
72.353516,14.3489685,73.76262
38.677856,12.64389,40.69207
182.88293,2.4873657,182.89986
492.198,8.431519,492.27023
19.079773,11.57016,22.313816
183.79077,0.9869995,183.79341
5.2922974,5.4686584,7.6101665
404.55438,2.2169495,404.56046
355.85858,15.473175,356.19482
737.34106,4.5383606,737.35504
245.5155,8.298462,245.6557
30.447021,0.97592163,30.462658
92.25903,3.4683838,92.3242
250.40515,6.299286,250.48436
8.133545,15.033417,17.092634
464.1587,7.9422913,464.22665
343.76166,1.9542236,343.7672
644.0404,1.3119812,644.04175
12.977112,5.0664673,13.931064
280.3534,10.788483,280.56088
872.71686,8.982422,872.76306
171.04547,2.4337769,171.06279
40.43036,7.3915405,41.10047
289.1161,0.61898804,289.11673
6.739502,8.307373,10.697351
9.492065,2.7729187,9.888801
69.55908,2.6386108,69.60911
248.55688,2.1071472,248.56581
186.4873,19.89856,187.54591
448.3484,3.6404114,448.36316
113.32745,8.904633,113.67675
495.38464,1.4829407,495.38687
137.39508,0.68185425,137.39677
605.8229,5.112854,605.8445
613.24164,18.885834,613.5324
249.3927,4.7790527,249.43849
49.40973,17.809113,52.52129
174.7196,56.77713,183.71332
45.903076,27.91919,53.72684
158.15753,20.422241,159.4706
286.8993,12.854584,287.18713
3.4176025,5.485382,6.462927
8.326965,3.5648804,9.057964
14.567871,0.611969,14.58072
93.025085,3.8129272,93.103195
678.0,6.046509,678.027
884.395,0.9418335,884.3955
17.484497,2.2721863,17.63152
134.6836,1.4184265,134.69106
206.40155,6.0693054,206.49077
5.6011963,1.2287292,5.7343855
51.30371,8.496033,52.002438
16.524658,1.1333618,16.563478
786.95105,0.1975708,786.95105
824.0503,3.800232,824.059
352.37988,6.60553,352.44177
417.54828,13.58017,417.76904
17.548645,2.747467,17.762419
717.80493,4.066345,717.81647
149.97534,3.1056213,150.00749
207.00171,3.2105103,207.02661
298.00012,1.2288818,298.00266
8.703491,2.10437,8.954281
339.35693,11.586212,339.55466
107.21704,6.3195496,107.40312
447.22296,34.257416,448.5331
14.054626,21.95929,26.07188
35.480957,31.642914,47.54127
97.51184,18.162262,99.18885
122.083496,9.176025,122.42786
167.50714,0.88656616,167.50949
14.867126,20.602081,25.406242
22.026001,26.3367,34.333168
482.88287,22.450165,483.40448
165.40576,36.187225,169.318
6.658264,13.057251,14.656885
19.557678,12.783508,23.36495
586.96985,10.78418,587.0689
285.09857,5.3595886,285.14896
162.92645,9.2222595,163.18726
14.623352,4.3399353,15.253769
36.124573,6.968567,36.790565
476.4763,11.498932,476.61502
6.46698,10.892883,12.667942
219.3103,11.637726,219.61887
337.8496,5.4391785,337.8934
6.327759,6.1183167,8.80195
364.85608,0.8258667,364.85703
197.45789,3.171692,197.48335
361.12903,6.901428,361.19498
300.97906,5.527008,301.02982
463.18875,3.4100952,463.2013
182.54816,5.193054,182.62201
32.52466,2.8674622,32.650814
423.7782,3.6336975,423.7938
267.9395,9.7099,268.1154
100.469604,8.074799,100.79357
179.93842,7.120392,180.07924
291.16425,8.885559,291.2998
37.434692,6.163452,37.938694
61.617615,8.825073,62.246384
702.84644,6.8018494,702.87933
556.4369,1.289154,556.43835
87.76587,15.854675,89.186424
7.263916,3.3694458,8.007349
3.507019,2.57135,4.3486805
594.9197,5.0512695,594.9411
169.84009,0.8852539,169.84239
747.45935,6.164276,747.4848
182.62067,5.915497,182.71645
418.28235,4.2397766,418.30383
174.97272,3.8204956,175.01442
12.68219,0.9803467,12.720024
564.87195,9.185822,564.9466
286.93988,9.578247,287.0997
471.28137,5.9308167,471.31866
494.4405,11.907898,494.58386
65.250854,5.625763,65.49293
349.65326,8.514954,349.75693
277.6194,2.0381775,277.62686
43.63025,6.2642517,44.077652
399.73615,7.6827087,399.80997
631.5427,5.2814026,631.5648
394.3429,4.522949,394.3688
20.272156,8.268005,21.893383
709.1549,17.728485,709.37646
577.5552,3.5621948,577.56616
17.685303,4.580017,18.26873
312.62677,16.564636,313.0653
206.38177,22.92334,207.65096
451.93896,11.826202,452.09366
178.19476,11.894928,178.59132
266.24982,8.950684,266.40024
24.71814,9.185699,26.369747
198.82965,1.6239624,198.83629
42.64856,0.7173767,42.654594
40.235596,7.6777954,40.96159
4.1447144,6.376526,7.6051784
416.98334,1.1768188,416.98502
479.34546,7.177185,479.39917
127.64191,7.994049,127.89199
511.54837,2.0144653,511.55234
41.29889,5.81781,41.706657
23.731506,6.974579,24.73518
276.2472,1.4826965,276.25116
36.67456,2.8215942,36.782944
147.45251,6.1442566,147.58047
159.71423,11.1423645,160.10243
261.79993,0.99438477,261.80182
72.72327,4.4739075,72.86075
46.254883,1.2442322,46.271614
607.60284,0.8851929,607.6035
17.803528,3.1972046,18.088331
